Node	Gene	Type	CIN_surv	Invasive_surv	MSIorCIMP_surv
AGRN_prot	AGRN	prot	died	died	died
AGTPBP1_mrna	AGTPBP1	mrna	died	died	died
AGTR1_mrna	AGTR1	mrna	died	died	died
AGT_mrna	AGT	mrna	mrna	died	died
AGT_prot	AGT	prot	died	died	died
AGXT_mrna	AGXT	mrna	died	died	died
AHCTF1_mrna	AHCTF1	mrna	died	died	died
AHCTF1_prot	AHCTF1	prot	died	died	died
AHCY_mrna	AHCY	mrna	died	died	died
AHCY_prot	AHCY	prot	prot	prot	prot
AHDC1_mrna	AHDC1	mrna	mrna	mrna	died
AHNAK2_prot	AHNAK2	prot	prot	died	died
AHNAK_prot	AHNAK	prot	died	died	died
AHR_mrna	AHR	mrna	died	died	died
AHSA1_mrna	AHSA1	mrna	mrna	died	died
AHSA1_prot	AHSA1	prot	prot	died	died
AHSG_prot	AHSG	prot	died	died	died
AIDA_mrna	AIDA	mrna	died	died	died
AIDA_prot	AIDA	prot	died	died	died
AIF1_prot	AIF1	prot	died	died	died
AIFM1_mrna	AIFM1	mrna	died	died	died
AIFM1_prot	AIFM1	prot	died	died	died
AIFM2_mrna	AIFM2	mrna	died	died	died
AIFM3_mrna	AIFM3	mrna	died	mrna	mrna
AIM1L_mrna	AIM1L	mrna	died	died	died
AIM1_prot	AIM1	prot	died	died	died
AIMP1_prot	AIMP1	prot	died	died	died
AIMP2_prot	AIMP2	prot	died	died	died
AIP_mrna	AIP	mrna	died	died	died
AIP_prot	AIP	prot	died	died	died
AIRE_mrna	AIRE	mrna	died	died	died
AJUBA_mrna	AJUBA	mrna	died	died	died
AK1_prot	AK1	prot	died	died	died
AK2_mrna	AK2	mrna	died	died	died
AK2_prot	AK2	prot	died	died	died
AK3_prot	AK3	prot	died	died	died
AK4_prot	AK4	prot	died	died	died
AKAP10_mrna	AKAP10	mrna	died	died	died
AKAP12_mrna	AKAP12	mrna	died	died	died
AKAP12_prot	AKAP12	prot	died	prot	died
AKAP1_mrna	AKAP1	mrna	died	died	died
AKAP1_prot	AKAP1	prot	died	died	died
AKAP2_prot	AKAP2	prot	prot	died	died
AKIP1_mrna	AKIP1	mrna	died	died	died
AKNA_mrna	AKNA	mrna	died	died	died
AKR1B10_prot	AKR1B10	prot	died	died	died
AKR1B1_mrna	AKR1B1	mrna	died	died	died
AKR1B1_prot	AKR1B1	prot	died	died	died
AKR1C1_mrna	AKR1C1	mrna	died	died	died
AKR1C1_prot	AKR1C1	prot	died	died	died
AKR1C3_prot	AKR1C3	prot	died	died	died
