Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
ABCG2_mrna	ABCG2	mrna	NFKB1_prot;RELA_prot	2
ABCG4_mrna	ABCG4	mrna	NFKB1_prot;RELA_prot	2
ABCG5_mrna	ABCG5	mrna	HNF4A_prot	1
ABCG8_mrna	ABCG8	mrna	HNF4A_prot	1
ABHD10_mrna	ABHD10	mrna	HNF4A_prot	1
ABHD10_prot	ABHD10	prot	APP_prot;SQSTM1_prot	2
ABHD11_mrna	ABHD11	mrna	HNF4A_prot	1
ABHD11_prot	ABHD11	prot	APP_prot	1
ABHD12B_mrna	ABHD12B	mrna	HNF4A_prot	1
ABHD12_mrna	ABHD12	mrna	HNF4A_prot	1
ABHD12_prot	ABHD12	prot	CPVL_prot;DPP9_prot	2
ABHD13_mrna	ABHD13	mrna	HNF4A_prot	1
ABHD14A-ACY1_mrna	ABHD14A-ACY1	mrna	ELF1_prot	1
ABHD14A_mrna	ABHD14A	mrna	ELF1_prot	1
ABHD14B_mrna	ABHD14B	mrna	ELF1_prot	1
ABHD15_mrna	ABHD15	mrna	ELF1_prot	1
ABHD16A_prot	ABHD16A	prot	COX2_prot;HM13_prot;HNRNPA1_prot;UPF1_prot	4
ABHD17A_mrna	ABHD17A	mrna	ELF1_prot	1
ABHD17B_mrna	ABHD17B	mrna	ELF1_prot	1
ABHD17C_mrna	ABHD17C	mrna	ELF1_prot	1
ABHD1_mrna	ABHD1	mrna	HNF4A_prot	1
ABHD2_mrna	ABHD2	mrna	POLR2A_prot	1
ABHD3_mrna	ABHD3	mrna	POLR2A_prot	1
ABHD4_mrna	ABHD4	mrna	POLR2A_prot	1
ABHD5_mrna	ABHD5	mrna	POLR2A_prot	1
ABHD6_mrna	ABHD6	mrna	POLR2A_prot	1
ABHD6_prot	ABHD6	prot	CKMT2_prot	1
ABHD8_mrna	ABHD8	mrna	POLR2A_prot	1
ABI1_mrna	ABI1	mrna	POLR2A_prot	1
ABI1_prot	ABI1	prot	BAIAP2_prot;CCDC22_prot;COG6_prot;CTTN_prot;CYFIP1_prot;DNM2_prot;ENAH_prot;EPS8_prot;EPS8L1_prot;EPS8L2_prot;EPS8L3_prot;HNRNPK_prot;HSPA8_prot;IKBIP_prot;KTN1_prot;NCF1_prot;NCKAP1_prot;PCMT1_prot;PRKAA1_prot;PRPF40A_prot;SORBS1_prot;SPTA1_prot;SRP68_prot;SRRM1_prot;SYNE2_prot;TCERG1_prot;TIMM50_prot;TLN1_prot;VASP_prot;WASF2_prot	30
ABI2_mrna	ABI2	mrna	POLR2A_prot	1
ABI3BP_mrna	ABI3BP	mrna	POLR2A_prot	1
ABI3_mrna	ABI3	mrna	POLR2A_prot	1
ABL1_mrna	ABL1	mrna	SMC3_prot	1
ABL2_mrna	ABL2	mrna	BTF3_prot;KPNA1_prot	2
ABLIM1_mrna	ABLIM1	mrna	BTF3_prot;KPNA1_prot	2
ABLIM1_prot	ABLIM1	prot	ACTB_prot;APP_prot;GOLGA2_prot;LIN7C_prot;NMT1_prot;SFN_prot;TRAF2_prot;TTN_prot;VIM_prot;YWHAE_prot;YWHAZ_prot	11
ABLIM2_mrna	ABLIM2	mrna	BTF3_prot;KPNA1_prot	2
ABLIM3_mrna	ABLIM3	mrna	BTF3_prot;KPNA1_prot	2
ABRACL_mrna	ABRACL	mrna	BTF3_prot;KPNA1_prot	2
ABR_prot	ABR	prot	APP_prot	1
