Gene	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3848	TCGA-AA-A00F	TCGA-AA-A00O	TCGA-AA-A017	TCGA-AA-A01C	TCGA-AA-A01F	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AF-2692	TCGA-AF-3913	TCGA-AG-3574	TCGA-AG-3584	TCGA-AG-3593	TCGA-AG-4007	TCGA-AG-A014	TCGA-AG-A016	TCGA-AG-A01J	TCGA-AG-A01N	TCGA-AG-A032	TCGA-AA-3552	TCGA-AA-3561	TCGA-AA-3666	TCGA-AA-3818	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A00K	TCGA-AA-A00U	TCGA-AA-A01I	TCGA-AA-A024	TCGA-AA-A029	TCGA-AF-2691	TCGA-AG-3580	TCGA-AG-A008	TCGA-AG-A00C	TCGA-AG-A00H	TCGA-AG-A00Y	TCGA-AG-A011	TCGA-AG-A015	TCGA-AG-A01L	TCGA-AG-A02X	TCGA-A6-3807	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3554	TCGA-AA-3664	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3864	TCGA-AA-A004	TCGA-AA-A00A	TCGA-AA-A00E	TCGA-AA-A00J	TCGA-AA-A00N	TCGA-AA-A00R	TCGA-AA-A010	TCGA-AA-A01D	TCGA-AA-A01K	TCGA-AA-A02R	TCGA-AF-3400	TCGA-AG-3594	TCGA-AG-A002
TMED5	2	2.32192809488736	1	2	2	2	2.32192809488736	3.32192809488736	2.32192809488736	2.58496250072116	2.58496250072116	1.58496250072116	2.32192809488736	2.58496250072116	2.58496250072116	3.16992500144231	2	1.58496250072116	2	1.58496250072116	1.58496250072116	2	2	2.58496250072116	1	2.32192809488736	2.32192809488736	1.58496250072116	1.58496250072116	1.8073549220576	2.32192809488736	2	1.58496250072116	3.4594316186373	2	2.58496250072116	2.58496250072116	2	2.4594316186373	3	1.58496250072116	2.32192809488736	2.58496250072116	1	2.32192809488736	2.32192809488736	3	1	2.8073549220576	1.58496250072116	2.32192809488736	1.58496250072116	2.32192809488736	2	1	2.32192809488736	3	2	3.4594316186373	1.58496250072116	1.58496250072116	2.16992500144231	3	2.32192809488736	1.58496250072116	2	1	3.4594316186373	2
TMED7	3.32192809488736	2.8073549220576	2.8073549220576	3.16992500144231	2.58496250072116	2.32192809488736	3.32192809488736	3.32192809488736	2.32192809488736	3.4594316186373	2.32192809488736	1.58496250072116	3.4594316186373	2.8073549220576	3.16992500144231	3.16992500144231	2.58496250072116	2	2	2	3	2.8073549220576	2.8073549220576	3.58496250072116	2.8073549220576	3	3.32192809488736	3	3.4594316186373	2.32192809488736	3.32192809488736	3.32192809488736	3.32192809488736	3.16992500144231	2.32192809488736	3	3.32192809488736	2.8073549220576	3.24792751344359	3.16992500144231	2.32192809488736	3.8073549220576	3.16992500144231	0	3.4594316186373	3	3.4594316186373	2.32192809488736	2.8073549220576	3.32192809488736	2.58496250072116	3.4594316186373	3.16992500144231	3.16992500144231	2.8073549220576	3.16992500144231	3.16992500144231	3.58496250072116	3.70043971814109	2.58496250072116	2.58496250072116	3.32192809488736	3.32192809488736	2.32192809488736	3.4594316186373	2.8073549220576	2.8073549220576	3.16992500144231	3.16992500144231
TMED9	4	3.4594316186373	3	4.08746284125034	4.08746284125034	3.90689059560852	4.08746284125034	4.16992500144231	2.58496250072116	3.4594316186373	2.8073549220576	2.58496250072116	4.08746284125034	3.70043971814109	3.70043971814109	3.16992500144231	3.16992500144231	3.4594316186373	3.4594316186373	3.4594316186373	4.08746284125034	3.4594316186373	3.32192809488736	4.08746284125034	3.70043971814109	4.24792751344359	3.4594316186373	3.70043971814109	4.16992500144231	3.08746284125034	4	3.58496250072116	4.24792751344359	3.90689059560852	3	4	4.24792751344359	2.32192809488736	3.70043971814109	3.58496250072116	3.58496250072116	3.70043971814109	3.90689059560852	2.8073549220576	4.08746284125034	3.70043971814109	3.90689059560852	3.4594316186373	3.16992500144231	3.4594316186373	3.90689059560852	3.70043971814109	3.58496250072116	3.8073549220576	3.4594316186373	4.24792751344359	4.08746284125034	3.58496250072116	3.90689059560852	3.58496250072116	3.4594316186373	4.32192809488736	4.08746284125034	3	3.58496250072116	3.58496250072116	3.4594316186373	3.70043971814109	3.32192809488736
TMEM109	2.58496250072116	3	2.58496250072116	2.58496250072116	2.58496250072116	2.32192809488736	2	2.58496250072116	2.32192809488736	2.8073549220576	2.32192809488736	2.58496250072116	2.32192809488736	2.32192809488736	2.32192809488736	2.8073549220576	3	2	2	2.32192809488736	3.16992500144231	3	2.32192809488736	2.58496250072116	2	1.58496250072116	2.32192809488736	2	2.58496250072116	2.16992500144231	2	2.8073549220576	1.58496250072116	2.8073549220576	2	2.32192809488736	2.32192809488736	2.32192809488736	2.58496250072116	3	2	2.58496250072116	2.58496250072116	1.58496250072116	2.8073549220576	2.58496250072116	3	2.8073549220576	2.32192809488736	3	2.58496250072116	2.8073549220576	2.8073549220576	1.58496250072116	2.32192809488736	2.58496250072116	2.8073549220576	2.4594316186373	3	2.32192809488736	1.58496250072116	2.32192809488736	2.58496250072116	1	2.58496250072116	2	0	2.58496250072116	2.8073549220576
TMEM14C	2.58496250072116	0	2.32192809488736	2	2.8073549220576	1	0	2.32192809488736	0	0	1	1	1	1	2	0	0	0	1	0	2.58496250072116	2.32192809488736	1	2	0	2	1.58496250072116	2	2	1	2	1.58496250072116	2	1	0	1.58496250072116	1	0	2	2.58496250072116	1	2	2	0	2.58496250072116	2	1	1	0	2	0	2	2.58496250072116	0	0	2	2.32192809488736	2.32192809488736	1	0	0	2.32192809488736	1	1.58496250072116	2.32192809488736	2.32192809488736	0	1.58496250072116	1.58496250072116
TMEM173	1	1	1	2	1.58496250072116	0	1.58496250072116	1	1.58496250072116	0	0	0	1.58496250072116	1	1	0	1	0	1.58496250072116	0	2.58496250072116	1.58496250072116	1	1	2.8073549220576	2.8073549220576	0	1	0	1.58496250072116	1	1.58496250072116	1	0	3.16992500144231	1	2	1.58496250072116	1.58496250072116	0	0	0	2	1	0	1	2.58496250072116	1	2	1.58496250072116	2.8073549220576	1.58496250072116	0	1.58496250072116	0	1.58496250072116	0	2.16992500144231	1.58496250072116	2	2.32192809488736	2	0	0	1.58496250072116	1	0	0	1.58496250072116
TMEM189	2	2.58496250072116	1.58496250072116	2	1.58496250072116	3	2.8073549220576	3.16992500144231	1	2.58496250072116	1.58496250072116	1.58496250072116	2.32192809488736	3	2.58496250072116	1.58496250072116	1.58496250072116	1.58496250072116	2.32192809488736	2	2	2.8073549220576	1.58496250072116	2.32192809488736	1	2.32192809488736	2	2.58496250072116	2	2	3	2	2.58496250072116	3	1	1.58496250072116	2	2	2.70043971814109	3.16992500144231	1.58496250072116	2.8073549220576	3.32192809488736	1.58496250072116	1.58496250072116	2	2	1.58496250072116	1.58496250072116	1.58496250072116	2	2	2.58496250072116	1.58496250072116	0	1.58496250072116	2.58496250072116	2	2.58496250072116	1.58496250072116	1.58496250072116	1.8073549220576	2	1.58496250072116	2	2	2.32192809488736	1.58496250072116	1.58496250072116
TMEM205	1.58496250072116	2	1.58496250072116	2.32192809488736	1	0	1.58496250072116	1.58496250072116	1.58496250072116	1.58496250072116	1	0	2.32192809488736	1.58496250072116	2.8073549220576	1.58496250072116	2	1.58496250072116	2.32192809488736	1	2.32192809488736	2	1	2	0	1.58496250072116	1	2	1.58496250072116	1.32192809488736	2.32192809488736	2.58496250072116	1	2.58496250072116	1	1.58496250072116	1.58496250072116	0	1.8073549220576	2.8073549220576	1.58496250072116	0	1.58496250072116	0	0	1	1.58496250072116	1	1.58496250072116	2	2	2	2.32192809488736	1.58496250072116	1	2.32192809488736	2	1.58496250072116	2	0	0	1.32192809488736	1	0	1	1	1	2.32192809488736	1
TMEM214	1.58496250072116	3.16992500144231	1.58496250072116	3.16992500144231	2	1	3.32192809488736	3.16992500144231	2.32192809488736	2.8073549220576	2.32192809488736	1.58496250072116	3.32192809488736	2	2	2.58496250072116	2.58496250072116	2	3	2.58496250072116	1.58496250072116	2.32192809488736	2.58496250072116	2.32192809488736	2.8073549220576	3.16992500144231	1	1.58496250072116	2.32192809488736	1.32192809488736	2	2	1.58496250072116	3	3.16992500144231	2.58496250072116	2.58496250072116	2.32192809488736	3.08746284125034	3.32192809488736	2.8073549220576	2.8073549220576	2.32192809488736	1.58496250072116	2.58496250072116	2.8073549220576	3.4594316186373	2.8073549220576	2.58496250072116	2	2.58496250072116	2.8073549220576	3.16992500144231	3	1	3.58496250072116	2.32192809488736	2.16992500144231	3.70043971814109	2.32192809488736	1.58496250072116	2.4594316186373	2.58496250072116	1	2.32192809488736	2	2.58496250072116	2.58496250072116	2.58496250072116
TMEM30A	0	1	0	1	0	1.58496250072116	1	1	0	1	1.58496250072116	0	1.58496250072116	1	0	0	1.58496250072116	0	0	0	0	1	1	0	1	2	0	0	1.58496250072116	0	0	1.58496250072116	0	0	1	1.58496250072116	0	0	1.58496250072116	1.58496250072116	1	2	0	0	0	0	0	1	1.58496250072116	1	0	1.58496250072116	1	0	0	1	1.58496250072116	1.32192809488736	2.8073549220576	1	1	1	2	1	0	1	1	2	1.58496250072116
TMEM33	2.8073549220576	2.8073549220576	2.32192809488736	3	3.16992500144231	3.4594316186373	3.16992500144231	2	3.16992500144231	2.58496250072116	2	2.58496250072116	3.16992500144231	2.32192809488736	2	2.58496250072116	2.8073549220576	2.8073549220576	3.16992500144231	2.58496250072116	2.32192809488736	2.58496250072116	2.58496250072116	2.58496250072116	3	2.58496250072116	2	1	3.32192809488736	2.32192809488736	2.8073549220576	2.8073549220576	1.58496250072116	2.58496250072116	2.32192809488736	3	2.8073549220576	2.8073549220576	2.32192809488736	2.32192809488736	2.58496250072116	3.32192809488736	2	2.58496250072116	2.58496250072116	2	2.8073549220576	2.58496250072116	2.32192809488736	2.8073549220576	2.8073549220576	3.16992500144231	1	2.8073549220576	2	3	1.58496250072116	2.16992500144231	3.8073549220576	2.58496250072116	1	2.16992500144231	1.58496250072116	1.58496250072116	2.32192809488736	2	1.58496250072116	2.8073549220576	3
TMEM43	3.58496250072116	0	2.32192809488736	2.8073549220576	3.4594316186373	3.90689059560852	3.58496250072116	2.8073549220576	2.58496250072116	3.16992500144231	2.58496250072116	1.58496250072116	3.90689059560852	2.8073549220576	3.16992500144231	1	2.32192809488736	3	3.8073549220576	3.32192809488736	3.4594316186373	1	2.58496250072116	3	2.32192809488736	3.16992500144231	3.16992500144231	2.8073549220576	1.58496250072116	2.8073549220576	2.8073549220576	2	2	2.58496250072116	3	2.8073549220576	2.8073549220576	2.32192809488736	2.4594316186373	2.58496250072116	3.16992500144231	2.32192809488736	3.16992500144231	2	2.32192809488736	2	3	2	1.58496250072116	1.58496250072116	2.8073549220576	2	2	3.58496250072116	1.58496250072116	2	2	3.52356195605701	1	2.58496250072116	1.58496250072116	3.16992500144231	1.58496250072116	2	2.8073549220576	2	0	2	2
TMEM63A	1	0	0	1	0	1	1	0	1.58496250072116	2.32192809488736	1	0	1.58496250072116	1	0	0	1.58496250072116	1	1	1	1	1.58496250072116	1	1	2.8073549220576	2	0	0	1	0	0	0	0	0	1.58496250072116	1.58496250072116	0	1	0	0	1	1.58496250072116	0	0	0	1	1.58496250072116	1	0	0	2	1	0	1	0	1	0	1	0	1.58496250072116	1	0	0	0	1	0	1.58496250072116	0	0
TMEM70	2	1	0	2	0	1.58496250072116	2.32192809488736	1	1.58496250072116	1.58496250072116	1.58496250072116	1	1	2	2	1.58496250072116	1.58496250072116	1	2.32192809488736	2	1.58496250072116	1.58496250072116	1	0	0	0	1.58496250072116	0	1.58496250072116	0	2	1.58496250072116	0	1.58496250072116	1.58496250072116	1	0	1.58496250072116	0	2	1.58496250072116	0	1.58496250072116	0	1.58496250072116	1	1	1	1.58496250072116	1	1	1	0	1	0	1	0	1.58496250072116	1	2	0	1.58496250072116	1	0	1.58496250072116	0	0	1	0
