Edge	NodeA	NodeB	InteractionType	Basal-like_dikNew	Basal-like_sigEdge	Basal-like_dir	Basal-like_absdiknew	HER2-enriched_dikNew	HER2-enriched_sigEdge	HER2-enriched_dir	HER2-enriched_absdiknew	Luminal A_dikNew	Luminal A_sigEdge	Luminal A_dir	Luminal A_absdiknew	Luminal B_dikNew	Luminal B_sigEdge	Luminal B_dir	Luminal B_absdiknew
ANLN_prot_KIF23_mrna	ANLN_prot	KIF23_mrna	tf	0	died	died	0	-0	died	died	0	-0.0469322	tf	down	0.0469322	0	died	died	0
ANLN_prot_KIF2C_mrna	ANLN_prot	KIF2C_mrna	tf	0	died	died	0	-0	died	died	0	-0.555002	tf	down	0.555002	0	died	died	0
ANLN_prot_KIF4A_mrna	ANLN_prot	KIF4A_mrna	tf	0	died	died	0	-0	died	died	0	-0.180089	tf	down	0.180089	0	died	died	0
ANLN_prot_KPNA2_mrna	ANLN_prot	KPNA2_mrna	tf	0	died	died	0	-0	died	died	0	-0.0662855	tf	down	0.0662855	0	died	died	0
ANLN_prot_LRP8_mrna	ANLN_prot	LRP8_mrna	tf	0	died	died	0	-0	died	died	0	-0.360155	tf	down	0.360155	0	died	died	0
ANLN_prot_MAD2L1_mrna	ANLN_prot	MAD2L1_mrna	tf	0	died	died	0	-0	died	died	0	-0.28938	tf	down	0.28938	0	died	died	0
ANLN_prot_MCM4_mrna	ANLN_prot	MCM4_mrna	tf	0	died	died	0	-0	died	died	0	-0.109158	tf	down	0.109158	0	died	died	0
ANLN_prot_MELK_mrna	ANLN_prot	MELK_mrna	tf	0	died	died	0	-0	died	died	0	-0.476233	tf	down	0.476233	-0	died	died	0
ANLN_prot_MND1_mrna	ANLN_prot	MND1_mrna	tf	0	died	died	0	0	died	died	0	-0.368927	tf	down	0.368927	0	died	died	0
ANLN_prot_NCAPG_mrna	ANLN_prot	NCAPG_mrna	tf	0	died	died	0	-0	died	died	0	-0.274599	tf	down	0.274599	0	died	died	0
ANLN_prot_NEIL3_mrna	ANLN_prot	NEIL3_mrna	tf	0	died	died	0	0	died	died	0	-0.0746529	tf	down	0.0746529	0	died	died	0
ANLN_prot_PLK1_mrna	ANLN_prot	PLK1_mrna	tf	0	died	died	0	-0	died	died	0	-0.423916	tf	down	0.423916	0	died	died	0
ANLN_prot_PSRC1_mrna	ANLN_prot	PSRC1_mrna	tf	0	died	died	0	-0	died	died	0	-0.0171764	tf	down	0.0171764	-0	died	died	0
ANLN_prot_RAD51AP1_mrna	ANLN_prot	RAD51AP1_mrna	tf	0	died	died	0	-0	died	died	0	-0.241257	tf	down	0.241257	0	died	died	0
ANLN_prot_RRM2_mrna	ANLN_prot	RRM2_mrna	tf	0	died	died	0	0	died	died	0	-0.152566	tf	down	0.152566	0	died	died	0
ANLN_prot_SHCBP1_mrna	ANLN_prot	SHCBP1_mrna	tf	0	died	died	0	0	died	died	0	-0.496134	tf	down	0.496134	0	died	died	0
ANLN_prot_SPAG5_mrna	ANLN_prot	SPAG5_mrna	tf	0	died	died	0	0	died	died	0	-0.0661929	tf	down	0.0661929	0	died	died	0
ANLN_prot_TPX2_mrna	ANLN_prot	TPX2_mrna	tf	0	died	died	0	-0	died	died	0	-0.317826	tf	down	0.317826	0	died	died	0
ANLN_prot_TRIP13_mrna	ANLN_prot	TRIP13_mrna	tf	0	died	died	0	-0	died	died	0	-0.082004	tf	down	0.082004	0	died	died	0
ANLN_prot_TTK_mrna	ANLN_prot	TTK_mrna	tf	0	died	died	0	-0	died	died	0	-0.317375	tf	down	0.317375	0	died	died	0
ANLN_prot_UBE2S_mrna	ANLN_prot	UBE2S_mrna	tf	0	died	died	0	-0	died	died	0	-0.254438	tf	down	0.254438	0	died	died	0
AP2B1_prot_ERBB2_prot	AP2B1_prot	ERBB2_prot	ppi	-0	died	died	0	0.162228	ppi	up	0.162228	-0	died	died	0	-0	died	died	0
APEX1_prot_BTF3_mrna	APEX1_prot	BTF3_mrna	tf	-0	died	died	0	-0	died	died	0	0.111466	tf	up	0.111466	0	died	died	0
APITD1_prot_CDC25A_mrna	APITD1_prot	CDC25A_mrna	tf	0	died	died	0	0	died	died	0	-0.149842	tf	down	0.149842	0	died	died	0
APITD1_prot_CDCA5_mrna	APITD1_prot	CDCA5_mrna	tf	0	died	died	0	0	died	died	0	-0.248141	tf	down	0.248141	0	died	died	0
APPL1_prot_HDAC5_prot	APPL1_prot	HDAC5_prot	ppi	-0	died	died	0	-0	died	died	0	0.284966	ppi	up	0.284966	-0	died	died	0
APPL1_prot_TRAF2_prot	APPL1_prot	TRAF2_prot	ppi	-0	died	died	0	-0	died	died	0	0.0476027	ppi	up	0.0476027	-0	died	died	0
APTX_prot_RAI2_mrna	APTX_prot	RAI2_mrna	tf	-0	died	died	0	-0	died	died	0	0.0325516	tf	up	0.0325516	0	died	died	0
ARFGAP2_prot_ESR1_prot	ARFGAP2_prot	ESR1_prot	ppi	-0	died	died	0	-0	died	died	0	0	died	died	0	0.112512	ppi	up	0.112512
ARID3A_prot_E2F1_mrna	ARID3A_prot	E2F1_mrna	tf	0	died	died	0	-0	died	died	0	-0.0160337	tf	down	0.0160337	0	died	died	0
ARMCX1_prot_KLHDC1_mrna	ARMCX1_prot	KLHDC1_mrna	tf	-0	died	died	0	-0	died	died	0	0.0355453	tf	up	0.0355453	0	died	died	0
AR_prot_ACOX2_mrna	AR_prot	ACOX2_mrna	tf	-0.679041	tf	down	0.679041	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_AKT1_mrna	AR_prot	AKT1_mrna	tf	-0	died	died	0	0.108325	tf	up	0.108325	-0	died	died	0	0	died	died	0
AR_prot_AR_mrna	AR_prot	AR_mrna	tf	-1.15724	tf	down	1.15724	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_BCL2_mrna	AR_prot	BCL2_mrna	tf	-0	died	died	0	-0	died	died	0	0.168818	tf	up	0.168818	0	died	died	0
AR_prot_BTG2_mrna	AR_prot	BTG2_mrna	tf	-0	died	died	0	0	died	died	0	0.526789	tf	up	0.526789	0	died	died	0
AR_prot_CCNG1_mrna	AR_prot	CCNG1_mrna	tf	-0	died	died	0	0	died	died	0	0.0239163	tf	up	0.0239163	0	died	died	0
AR_prot_CPT1A_mrna	AR_prot	CPT1A_mrna	tf	-0.30595	tf	down	0.30595	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_DHRS4_mrna	AR_prot	DHRS4_mrna	tf	-0.142174	tf	down	0.142174	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_ERBB2_mrna	AR_prot	ERBB2_mrna	tf	-0.0877442	tf	down	0.0877442	0.585234	tf	up	0.585234	0	died	died	0	0	died	died	0
AR_prot_ERBB3_mrna	AR_prot	ERBB3_mrna	tf	-0.149772	tf	down	0.149772	0	died	died	0	0.048188	tf	up	0.048188	0	died	died	0
AR_prot_ESR1_mrna	AR_prot	ESR1_mrna	tf	-0.817924	tf	down	0.817924	-0	died	died	0	0.367911	tf	up	0.367911	0.0191814	tf	up	0.0191814
AR_prot_FOXA1_mrna	AR_prot	FOXA1_mrna	tf	-1.66391	tf	down	1.66391	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_FOXA1_prot	AR_prot	FOXA1_prot	ppi	-0.746536	ppi	down	0.746536	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_GREB1_mrna	AR_prot	GREB1_mrna	tf	-0.311262	tf	down	0.311262	-0	died	died	0	0.134599	tf	up	0.134599	0	died	died	0
AR_prot_HGF_mrna	AR_prot	HGF_mrna	tf	-0	died	died	0	0	died	died	0	0.0676414	tf	up	0.0676414	0	died	died	0
AR_prot_IL6ST_mrna	AR_prot	IL6ST_mrna	tf	-0.234021	tf	down	0.234021	-0	died	died	0	0.645238	tf	up	0.645238	0	died	died	0
AR_prot_IL6ST_prot	AR_prot	IL6ST_prot	ppi	-0	died	died	0	-0	died	died	0	0.0770829	ppi	up	0.0770829	0	died	died	0
AR_prot_MYB_mrna	AR_prot	MYB_mrna	tf	-0.646702	tf	down	0.646702	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_NAT1_mrna	AR_prot	NAT1_mrna	tf	-0.3795	tf	down	0.3795	0	died	died	0	0.0725372	tf	up	0.0725372	0	died	died	0
AR_prot_NRIP1_mrna	AR_prot	NRIP1_mrna	tf	-0.146396	tf	down	0.146396	0	died	died	0	0	died	died	0	0	died	died	0
